Company Name,Designation
T&P Fashion Ltd,Proprietor
RNA Resources Group Ltd,Women's Buying Head
RNA Resources Group Ltd,AVP
Sri Krishna garments,Manager
SHOBIKAA IMPEX PVT LTD,PROCESSING MANAGER (FUR FABRICS)
SHOBIKAA IMPEX PVT LTD,SUPPLY CHAIN MANAGER
House of monkey,Merchandiser
J D WILLIAMS CO LTD,Senior Buyer
TheNanoKart,Founder
Cutestcharm,Founder
Mithil Lifestyle,Business
House Of Talera,Production Manager
House Of Talera,Creative Director
JAYCEE BRAND LLC,Buying Manager
PDS Limited,Fabric Designer
SYNERGIES DEVELOPMENT AND SOURCING PVT LTD,Quality Manager
PRANAVO APPARELSS,MD
Kishorilal Shyamsunder,CEO
JOHN LEWIS,Buyer
Effilo Clothing,cfo
Effilo Clothing,Founder
SLST mills,Creative Head
Swan garments,Proprietor
J Meera clothing,CEO
J Meera clothing,Partner
FASTRUNK CLOTHINGS,GM
S & S TECH LOGIC CONCEPTS,PARTNER
Falguni Shane Peacock,Manager - Purchase and Production
ARVIND FASHION,SGM
CHEMCO GROUP,Sourcing and Strategic Manager
NJA GROUPS,FOUNDER
A S AND M,CEO
zxyinternational,marketing
zxyinternational,marketing
Motherland Garments Pvt Ltd,Director
Motherland Garments Pvt Ltd,Director
EVENELAN STYLECO PRIVATE LIMITED,Director
EVENELAN STYLECO PRIVATE LIMITED,Director
RITHVI TEX,MANAGING DIRECTOR
RUBRIC APPARELS PVT. LTD.,Senior Manager
RV CLOTHING,CEO
Adityabirla Group,Product merchant
Metro Brands Limited,DGM- Apparel Sourcing - FILA
ABFRL,Deputy Manager
Global Trade Eon,CEO
RV CLOTHING,CEO
RR SPORTS WEAR,Founder
RR SPORTS WEAR,Head of Retail and Online Sales
Stylio The fashion brand,Founder
Max Fashion India,Head - Quality Assurance & PPC
West Thread,Founder
West Thread,Co-founder
Aashgo Exports,CEO
Singaara by kavya,Designer
Vishal Mega Mart,Manager
Suhagan synthetics,Partner
Shobikaa Impex Pvt Ltd,Merchandising Manager
Hopscotch,Manager Buying
Hopscotch,AM Buying
Nutah,"Founder, creative director"
ID Overseas Pvt Ltd,CEO & Director
ID Overseas Pvt Ltd,VP - Operations
Globgrid,Director and Head of Design
Globgrid,Sourcing Manager Woven
Globgrid,Head of Operations
Bitswags,Owner
indiefy Business Solutions Pvt. Ltd.,Director
Virudhai Garments,Owner
Puzzle Effect,Founder
Puzzle Effect,Director
Snuk Apparel,Entrepreneur
Lakhani cotton’s PVT LTD,Partner
Lakhani cotton’s PVT LTD,Partner
RSM FASHIONS,Manager
M.P.M.TEXTILES PRIVATE LTD.,md
Amar Collections,Designer
Amar Collections,Proprietor
Simmi's Emporium,Proprietor
CKK TEXTILES,Director
Racing turtle,Founder
Rariasolution,Proprietor
Arun Traders,Managing director
Rayaa India,Founder
Nadhi,Founder
Nadhi,Partner
PVH,"Director, Packaging"
Aristobrat Retail Pvt Ltd,Fashion Designer
Athleisure Lifestyle,COO
Athleisure Lifestyle,CFO
Mothercare Sourcing India Pvt. Ltd.,Country Head
BODY WRAAP,CEO
BODY WRAAP,manager
SRI MARUTHI TEXTILES & GARMENTS,Entrepreneur
Rm apparels,Marketing manager
Page industries ,Product Manager
Casaweave Textiles,Managing Director
Reliance Retail Ltd,Deputy General Manager (DGM) Category Lead - Women's Apparel
Carrefour,Regional Country Lead - sourcing & Operations
JOVE PATTERNS,Managing Director
JOVE PATTERNS,Manager
Temple Of Denim,Operations Head
GOLF FASHION KNITS PVT LTD.,Owner
shakti brands, Designer
Crew Clothing Co Ltd,Head of Design
Shree Voguish Archana,Founder
Snitch,Production Manager
Target,Mid Designer Ops
R.G.APPAREL,MD
PRANAO INTERNATIONAL(PROP: C. JAYACHANDRAN),CEO
P N Rao,partner
P N Rao,Business Partner
Aditya Birla Fashion,Sr. designer manager
M.M. HOSIERY,PROPRIETOR
Collaborative Sourcing Services,Quality & Fabric Manager
EASTMAN EXPORTS GLOBAL CLOTHING PVT LTD,President Raw Materials
MYNTRA,Associate Director Quality House of Brands at Myntra
LANDMARK GROUP,Head Sourcing FOR MEN
Superfly Apparel ,Partner
Raised on denim ,Head of business
Akhawat Syndicate,Manager
Crew Clothing Co Ltd,Head of Buying
PVH,Business Solution Architect-Procure to Pay
MARS MELON APPARELS LLP,Partner
Sakshi Prints,Owner
RARIA SOLUTIONS,GENRAL MANAGER
RedTag,Fashion Apparel Buyer
RedTag,Buying Manager Kidswear
Page Industries Ltd- Jockey,Manager
Arvind Limited,Dy. General Manager - Procurements
Banswara Syntex,GM
Walmart,Sourcing Manager
Dev Darshan Clothing,Head of Operations
PRADEEN TEXTILE,MD
ASOS,Head of Design
ACN Fashion Shop,Purchase Manager
Dev Darshan Clothing,Proprietor
Decathlon,Operation Process manager - Indus & Offer (Textile Components)
Kothari Hosiery Factory Pvt. Ltd.,HOD
Kothari Hosiery Factory Pvt. Ltd.,Director
Kothari Sports And Apparels Pvt. Ltd.,Director
Damarlex UK Ltd,Merchandiser at Damart UK
KC Bless,Co-Founder
Half&Some,Owner
The kala shop,Creative designer
PMS TEXTILE,Co-founder
kameel fashion and retail llp,partner
Aauraw Apparels,Business Head
Anand enterprise,Owner
Silkberry Exports,Proprietor
BMA International FZE,Senior Buyer - Ladieswear
BMA International FZE,Fashion Buyer
Babyvilla clothing pvt ltd,CEO
HANSBERG CLOTHING,Owner
Diya Hosiery,Owner
Walrie Exclusive Apparels,Proprietor
Bout To Wear,Founder
Anilakh Designs LLP,Head of Buying & Sourcing
Anilakh Designs LLP,Operations Manager
Bewakoof Brands Private Limited,AM - Fashion Design
Bewakoof Brands Private Limited,AM - Fashion Design
Bewakoof Brands Private Limited,Lead - Product Development & Accessories Sourcing
GAP INC,Sr Sourcing and Buying Merchandiser
Tesco,Senior Associate Merchandiser
GAP INC.,Director (Global Sustainability)
JOCKEY,Cluster lead
JOCKEY,Head- CRM
GRASS GREEN CLOTHHING,MD
UNIQUE APPARELS,MD
ADAMS SCREEN PRINTERS,MD
Sainsbury's,Head of Sourcing - Clothing ( Men’s and Kidswear)
COTTON BUDS INC.,CEO
Urban MOnkey Private limited,Founder
Urban MOnkey Private limited,Creative Director
Urban MOnkey Private limited,Head of Merchandising
SVAS GLOBAL SOURCING PVT LTD,CEO
LEECOOPER,DESIGNER
WROGN,Sr. Manager Sourcing
Linen Trail,Co-founder
Maven Ecomm Private Limited - Brand Name :AshleyandAlvis,Co Founder
Mamkam,Fashion assistant
H&M,Product Technologist
H&M,Product Technologist
H&M,Product Technologist
Louis Philippe - Aditya Birla lifestyle Brand Limited,General Manager - Product
Louis Philippe - Aditya Birla lifestyle Brand Limited,Assistant Manager - Product
Louis Philippe - Aditya Birla lifestyle Brand Limited,Assistant Manager - Product
YB-DNMX (RELIANCE TRENDS),DEPUTY MANAGER
BLUER,FOUNDER
Noole,Supply chain Manager
Vetrivel powderpuff apparel llp,Director
Vetrivel powderpuff apparel llp,Director
Mirth Clothings,Proprietor
Mirth Clothings,MD
Elfin House,Head of Marketing and Growth
KF LIFESTYLE,PROPRIETOR
LIBASUN,Partner
LIBASUN,Partner
Codeblue Clothing Pvt Ltd,Director Operations
Codeblue Clothing Pvt Ltd,Managing Director
PDS Limited,Fabric Designer
ASOKA INC.,CEO
BALAJI GARMENTS,souriching head
ECOTEX,CEO
"Aquarelle India P Ltd.,",Ass. Manager
Kazen,Proprietor
Cava Athleisure,Designer
Cava Athleisure,sourcing manager
Shahi exports Pvt Ltd,Senior Merchandiser
Stitchung,Co-founder
Bewakoof,Sr. Buyer
Trius Fashion Llp,Founder
Trius Fashion Llp,Co-Founder
Amario Apparels,Design Manager
BAFNA CLOTHING CO PVT TLD,CATEGORY - HEAD MERCHANT
BAFNA CLOTHING CO PVT TLD,MD
EASYBUY-LIFESTYLE INT. PVT. LTD,SENIOR MANAGER
EASYBUY-LIFESTYLE INT. PVT. LTD,SENIOR MANAGER
Myntra,Design Manager
THE HOUSE OF RARE,Sr. Executive Designer
Ralph Lauren,RM Wash Specialist
Page Industries Limited,Senior Manager
Mamkam,Founder & CEO
Max Fashion - Landmark Group,Buying Lead
VASULAL INTERNATIONAL,mananging director
Bhartiya International Ltd.,Senior Manager-Purchase
Bhartiya International Ltd.,Deputy Manager-Purchase
P N RAO,Designer
P N RAO,Manager Buying and Merchandising
ABFRL,Head Of Design
Link Up Textiles Pvt Ltd.,MANAGER FABRIC TECHNOLOGY
Lifestyle International Pvt Ltd,Manager-Sourcing
Lifestyle International Pvt Ltd,Assistant Manager
Sriveda Sattva Pvt Ltd,Production Head
CHANDA INTERNATIONAL,head
Shree Sakthi Vinayagar,Director
CIEL TEXTILE,MANAGER
CHERAN WEAVES INDIA PRIVATE LIMITED,Marketing
Flipkart,Vice President
RELIANCE RETAIL,Creative Head - Mid Premium Brands
Equall,Marketing Manager
Equall,founder & Ceo
Al tayer ,Merchandise Planning Director
JAI GURU APPARELS,PROPREITOR
CYLWIN KNIT FASHIONS,BUSINESS DEVELOPMENT MANAGER
Story of Things,Director
Pushpdeep NX,Partner
AJIO,Product Manager
Reliance Brand,General Manager
Ajanta Shoes,EXECUTIVE ASSISTANT TO MD
Human Friendly,Proprietor
ADIDAS EMERGING MARKETS FZE,Senior Merchandise Manager - Emerging Markets
SENSIA TEXTILES PRIVATE LIMITED,Director
Nina,Founder
Nina,Co founder
erazzlondon,Founder
PREMIER TEX,Director
Ethnic elements,Founder
HIELABS,CO FOUNDER
HIELABS,CO FOUNDER
RALPH LAUREN SOURCING INDIA LLP,Sr. Manager Stragey
RAYMOND LIMITED,Business Head
Shahi exports Pvt Ltd,Senior Merchandiser
ADIDAS EMERGING MARKETS FZE,Senior Manager Buying & Merchandising- Emerging markets
SHRI VARI CLOTHING COMPANY,MD
K.P.R.EXPORTS,MD
B.S.INTERNATIONAL,Proprietor
ARVIND FASHIONS LIMITED,DGM
Blackberrys Menswear,Deputy General Manager of Category Management
Apparel FZCO,Senior Category Manager
RedTag,Senior Buyer - Boys wear
ASMARA,Senior Designer
BLACKBERRYS MENSWEAR,General Manager
AQUARELLE INDIA,Manager
ARMSTRONG PRODUCTS,Managing Director
H&M,Quality Manager
Folk & Fab,Co-Founder & Director of Operations
Apparel FZCO,Senior Buyer
Haddow Group,Senior Merchandiser
Page Industries limited,Assistant Manager
Page Industries limited,Senior Executive - RM Sourcing
Asda Stores Ltd,"Head of Buying Kids, Baby & School"
Asda Stores Ltd,Sourcing Manager
Maven Ecomm Private Limited - AshleyandAlvis,Cofounder - Chairman
Maven Ecomm Private Limited - AshleyandAlvis,Founder - CEO
NAZCO clothing company,Founder
V.P.R.TEXTILES,MD
Morpho Knitwear, MANAGING DIRECTOR
VRP Enterprises,Properitor
SHAHI EXPORTS PVT LTD,DPC HEAD
SHAHI EXPORTS PVT LTD,ASST.MANAGER TRIM SOURCING
SHAHI EXPORTS PVT LTD,AGM - Marketing
s.Oliver,Country Manager
SCM GARMENTS PVT LTD,Merchandising Manager
Varner,Senior Merchandiser
IMPULSE INTERNATIONAL PVT. LTD.,DIRECTOR
